obs_key,status
RUN_START,RUN_START
PACE_OCI.20241226T201036.L2.OC_AOP.V3_1.nc||47,NO_VALID_PIXELS_5x5
PACE_OCI.20241226T214355.L2.OC_AOP.V3_1.nc||47,NO_VALID_PIXELS_5x5
PACE_OCI.20241230T205116.L2.OC_AOP.V3_1.nc||48,NO_VALID_PIXELS_5x5
PACE_OCI.20250106T195926.L2.OC_AOP.V3_1.nc||49,NO_VALID_PIXELS_5x5
PACE_OCI.20250106T213245.L2.OC_AOP.V3_1.nc||49,NO_VALID_PIXELS_5x5
PACE_OCI.20250106T213745.L2.OC_AOP.V3_1.nc||49,NO_VALID_PIXELS_5x5
PACE_OCI.20250113T204049.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250113T204549.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250117T194803.L2.OC_AOP.V3_1.nc||51,NO_VALID_PIXELS_5x5
PACE_OCI.20250117T212122.L2.OC_AOP.V3_1.nc||51,NO_VALID_PIXELS_5x5
PACE_OCI.20250121T202337.L2.OC_AOP.V3_1.nc||52,OBS_DONE
PACE_OCI.20250121T202837.L2.OC_AOP.V3_1.nc||52,NO_VALID_PIXELS_5x5
PACE_OCI.20250129T200618.L2.OC_AOP.V3_1.nc||53,NO_VALID_PIXELS_5x5
PACE_OCI.20250129T214436.L2.OC_AOP.V3_1.nc||53,NO_VALID_PIXELS_5x5
PACE_OCI.20250203T194309.L2.OC_AOP.V3_1.nc||54,NO_VALID_PIXELS_5x5
PACE_OCI.20250203T212128.L2.OC_AOP.V3_1.nc||54,NO_VALID_PIXELS_5x5
PACE_OCI.20250211T210925.L2.OC_AOP.V3_1.nc||55,NO_VALID_PIXELS_5x5
PACE_OCI.20250218T202319.L2.OC_AOP.V3_1.nc||56,NO_VALID_PIXELS_5x5
PACE_OCI.20250221T203139.L2.OC_AOP.V3_1.nc||57,OBS_DONE
PACE_OCI.20250224T203956.L2.OC_AOP.V3_1.nc||58,NO_VALID_PIXELS_5x5
PACE_OCI.20250303T195336.L2.OC_AOP.V3_1.nc||59,OBS_DONE
PACE_OCI.20250303T213158.L2.OC_AOP.V3_1.nc||59,OBS_DONE
PACE_OCI.20250310T204032.L2.OC_AOP.V3_1.nc||60,NO_VALID_PIXELS_5x5
PACE_OCI.20250310T204532.L2.OC_AOP.V3_1.nc||60,NO_VALID_PIXELS_5x5
PACE_OCI.20250317T195400.L2.OC_AOP.V3_1.nc||61,NO_VALID_PIXELS_5x5
PACE_OCI.20250317T195900.L2.OC_AOP.V3_1.nc||61,NO_VALID_PIXELS_5x5
